icao,lat,lon,alt,country,name,location
SDJG,-22.73206,-49.48714,1689,BR,Fazenda Ponte Preta,Santa Cruz do Rio Pardo
SDJL,-20.29782,-50.54626,1496,BR,Jales,Jales
SDJN,-21.09849,-47.75242,1771,BR,Fazenda Sao Luis,Jardinopolis
SDJO,-20.59074,-47.84606,2136,BR,Sao Joaquin Da Barra Apt,Sao Joaquim da Barra
SDJQ,-20.8336,-51.01178,1276,BR,Fazenda Sao Joaquim Ob,Pereira Barreto
SDJR,-20.8852,-49.39252,1804,BR,Fazenda Santa Ines,Bady Bassitt
SDJS,4.72878,-60.24502,735,VE,Andorinha,Santa Elena de Uairen
SDJV,-22.02267,-46.84274,2500,BR,Sao Joao Da Boa Vista,Sao Joao da Boa Vista
SDJX,-13.10891,-48.38267,1585,BR,Fazenda Serra Dourada,Porangatu
SDJZ,-20.80918,-48.22668,1608,BR,Fazenda Barra Do Agudo,Viradouro
SDKA,4.16582,-59.83677,184,GY,Angical,Lethem
SDKB,-21.78809,-47.05895,2346,BR,Casa Branca,Casa Branca
SDKC,-22.30576,-49.46408,1771,BR,Fazenda Sao Lucas,Duartina
SDKE,-13.77832,-44.46956,2198,BR,Coribe,Correntina
SDKF,-9.14965,-40.09319,1220,BR,Juazeiro,Curaca
SDKG,-23.22279,-49.18097,2031,BR,Fazenda Gavea,Cerqueira Cesar
SDKJ,-11.01914,-45.19213,1598,BR,Formosa Do Rio Preto,Formosa do Rio Preto
SDKK,-21.49198,-47.0359,2113,BR,Mococa,Mococa
SDKL,3.8384,-59.78099,108,GY,Caracarana,Lethem
SDKN,-22.43587,-48.4093,2339,BR,Fazenda E Haras Bela Vista,Dois Corregos
SDKO,-20.25135,-48.79159,1830,BR,Fazenda Campo Grande,Frutal
SDKP,-22.18579,-50.28023,1611,BR,Fazenda Jamaica,Pompeia
SDKQ,-20.21666,-49.07022,1673,BR,Fazenda Sao Joao,Frutal
SDKR,-15.16906,-59.17378,1116,BR,Fazenda Triangulo,Pontes e Lacerda
SDKW,-12.29749,-55.53987,1181,BR,Fazenda Sodema,Sinop
SDKX,-11.51708,-52.40316,1201,BR,Fazenda Agrovas,Sao Miguel do Araguaia
SDKZ,4.5583,-60.47277,784,VE,Caraparu 4,Santa Elena de Uairen
SDLC,-21.75162,-51.02323,1447,BR,Lucelia,Lucelia
SDLE,-13.58416,-41.79357,3576,BR,Rio De Contas,Livramento do Brumado
SDLG,-10.97386,-41.07399,1890,BR,Salviano Inacio Rocha,Morro do Chapeu
SDLH,-11.04269,-38.78899,696,BR,Caldas Do Jorro,Tucano
SDLI,-8.73623,-39.12071,955,BR,Abare,Belem de Sao Francisco
