ts,ff_l,ff_r,n1_l,n1_r,n2_l,n2_r,roll,acc,alt,roc,tas,sat,spress,cas,mach,alt_gnss,lat,lon,gs,hdg,trk,wspd,wagl,mass,fuelburn
1164,0.021012853869470716,0.02336396244671387,50.266155239318195,50.70885015941894,65.18093302952788,66.04216894950748,-0.36920400766225964,-0.9200640725942757,8997.8125,-52.0,273.296875,-2.25,21.792625000000005,239.125,0.42596875,8772.0,51.810996970161796,5.394612830132246,307.25,91.02447509765625,90.7470703125,34.0,-88.59375,5809.217108158002,169.7298518419984
1165,0.021804106245944147,0.02477366702875126,47.39341507920324,49.01048834529936,63.220744106724936,65.2063242515599,-0.45365243587853776,-0.9160583890474758,8996.375,-83.0,271.0625,-2.25,21.79525,237.109375,0.4224140625,8771.0,51.810978865250945,5.396896563470364,305.375,90.9810791015625,90.72509765625,34.0,-88.59375,5809.1705303847275,169.7764296152731
1166,0.02270339069963439,0.02546174016635778,46.2118685328513,48.28171124489354,62.46974979266198,64.79205670255685,-0.3732182429387019,-0.9162425584059495,8993.9375,-160.0,269.01953125,-2.25,21.798625000000005,235.3203125,0.41921875000000003,8769.0,51.81096059270203,5.3991669695824385,303.5,91.074462890625,90.703125,34.0,-88.9453125,5809.122365253861,169.82459474613907
1167,0.023087972383213792,0.025771476821393583,45.67355818636693,47.87623051806455,62.11744362877137,64.50720888978294,-0.44959435096153844,-0.8856287461766656,8990.5625,-203.0,267.41796875,-2.25,21.8025,233.953125,0.41674999999999995,8767.0,51.8109433259815,5.401424132287502,301.75,90.8338623046875,90.68115234375,34.0,-89.296875,5809.073505804657,169.87345419534367
1168,0.023270640109674556,0.025871528150635367,45.388660770147595,47.595603998231326,61.90277665531089,64.27510842272181,-0.4972369854266827,-0.90249892002986,8988.5,-135.0,266.15234375,-2.25,21.805000000000007,232.828125,0.4147734375,8765.0,51.81092740036547,5.40366729721427,300.0,90.79486083984375,90.6591796875,34.0,-89.296875,5809.024363636397,169.922596363604
1169,0.02340338775401758,0.025730108073495767,45.19283539618181,47.32948549975208,61.744229218052276,64.02760643693082,-0.2994830791766827,-0.882723735163762,8985.9375,-168.0,264.375,-2.25,21.80875,231.296875,0.41203125000000007,8763.0,51.81091164238751,5.405897302553058,298.25,90.7261962890625,90.6591796875,34.5,-89.296875,5808.975230140569,169.9717298594315
1170,0.02202612201692651,0.02314476377965693,44.509523677327884,46.34125271579468,60.93121805828305,62.89968801766784,-0.42793860802283656,-0.8882257947481592,8982.25,-208.0,263.0390625,-2.25,21.812499999999996,230.078125,0.4098671875,8760.0,51.81089663878083,5.408115405589342,296.5,90.73443603515625,90.63720703125,34.5,-89.296875,5808.9300592547725,170.01690074522807
1171,0.021492885171345275,0.022286605030962196,43.49043569562581,44.9884399417936,59.82287295991009,61.512837596214105,-0.20567673903245193,-0.8954544420682464,8979.3125,-190.0,261.3515625,-2.125,21.816375000000004,228.625,0.40728125000000004,8758.0,51.81088138371706,5.410319929942489,294.75,91.01788330078125,90.615234375,34.0,-89.6484375,5808.88627976457,170.06068023543037
1172,0.02184701627965979,0.022486482068369635,42.97436423122655,44.31362826528864,59.370338943338766,60.94692778703751,-0.3278996394230769,-0.8596104806753306,8976.9375,-163.0,259.44140625,-2.0,21.819999999999997,226.9140625,0.40421874999999996,8756.0,51.810866463929415,5.412511210888624,293.0,90.70477294921875,90.615234375,34.0,-90.0,5808.841946266221,170.1050137337784
1173,0.023709345271000062,0.024492891870385072,43.16759717918428,44.38569501988108,59.81484883701307,61.256627794540286,-0.14662522536057693,-0.8308570395836465,8975.5,-84.0,257.34765625,-2.0,21.822625000000002,225.1015625,0.40097656249999997,8754.0,51.810851879417896,5.414689499884844,291.25,90.9228515625,90.615234375,34.0,-90.0,5808.793744029081,170.1532159709198
1174,0.037085008316495756,0.0431376072829197,47.65163843574808,49.272602772892746,65.33488958236451,66.91770079704594,-0.19004234900841346,-0.7109627872173602,8972.125,-208.0,256.61328125,-2.125,21.826124999999998,224.5,0.39992187500000004,8751.0,51.81083679199219,5.416856054216623,289.75,91.14202880859375,90.615234375,34.0,-90.0,5808.713521413481,170.2334385865192
1175,0.05524637896167236,0.06391323042321001,57.66506783402778,60.36854162467422,73.87326380676231,75.70299139645908,-0.32737145057091344,-0.5059822912362903,8968.5625,-215.0,255.16015625,-2.25,21.830125,223.234375,0.39765625,8747.0,51.81082237511873,5.419012550264597,288.625,91.078857421875,90.615234375,34.0,-90.0,5808.5943618040965,170.3525981959041
1176,0.06641947162393322,0.07054935170373287,68.4802629988762,69.19637710508725,79.97630126777973,80.34258097883595,-0.17726017878605768,-0.3419794775155873,8963.875,-315.0,254.1015625,-2.25,21.835624999999997,222.3125,0.39596875,8744.0,51.810808293521404,5.4211620055139065,287.875,90.94647216796875,90.59326171875,34.0,-90.3515625,5808.457392980768,170.48956701923177
1177,0.0683468905734152,0.07208856275788439,73.3248425926507,72.88906438035178,81.85562584392048,81.80880529193188,-0.14769356205778303,-0.27630008004995493,8963.5625,-42.0,253.140625,-2.25,21.836500000000004,221.4921875,0.3945078125,8745.0,51.81079396046698,5.42330626398325,287.25,91.17498779296875,90.5712890625,34.0,-90.703125,5808.316957527437,170.63000247256306
